id,description,start_location,start_latitude,start_longitude,end_location,end_latitude,end_longitude,time_window_start,time_window_end,capacity,alternative_capacities,skills,fixed_cost,max_tasks
7000|2|Fuel Tanker,7000|2 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[4000, 0, 0, 0, 0], [2000, 2000, 0, 0, 0], [2000, 0, 2000, 0, 0], [2000, 0, 0, 2000, 0], [2000, 0, 0, 0, 2000], [0, 4000, 0, 0, 0], [0, 2000, 2000, 0, 0], [0, 2000, 0, 2000, 0], [0, 2000, 0, 0, 2000], [0, 0, 4000, 0, 0], [0, 0, 2000, 2000, 0], [0, 0, 2000, 0, 2000], [0, 0, 0, 4000, 0], [0, 0, 0, 2000, 2000], [0, 0, 0, 0, 4000]]",,,
7001|3|Fuel Tanker,7001|3 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[4000, 0, 0, 0, 0], [2000, 2000, 0, 0, 0], [2000, 0, 2000, 0, 0], [2000, 0, 0, 2000, 0], [2000, 0, 0, 0, 2000], [0, 4000, 0, 0, 0], [0, 2000, 2000, 0, 0], [0, 2000, 0, 2000, 0], [0, 2000, 0, 0, 2000], [0, 0, 4000, 0, 0], [0, 0, 2000, 2000, 0], [0, 0, 2000, 0, 2000], [0, 0, 0, 4000, 0], [0, 0, 0, 2000, 2000], [0, 0, 0, 0, 4000]]",,,
7004|4|Fuel Tanker,7004|4 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[3800, 0, 0, 0, 0], [800, 3000, 0, 0, 0], [800, 0, 3000, 0, 0], [800, 0, 0, 3000, 0], [800, 0, 0, 0, 3000], [3000, 800, 0, 0, 0], [0, 3800, 0, 0, 0], [0, 800, 3000, 0, 0], [0, 800, 0, 3000, 0], [0, 800, 0, 0, 3000], [3000, 0, 800, 0, 0], [0, 3000, 800, 0, 0], [0, 0, 3800, 0, 0], [0, 0, 800, 3000, 0], [0, 0, 800, 0, 3000], [3000, 0, 0, 800, 0], [0, 3000, 0, 800, 0], [0, 0, 3000, 800, 0], [0, 0, 0, 3800, 0], [0, 0, 0, 800, 3000], [3000, 0, 0, 0, 800], [0, 3000, 0, 0, 800], [0, 0, 3000, 0, 800], [0, 0, 0, 3000, 800], [0, 0, 0, 0, 3800]]",,,
7006|5|Fuel Tanker,7006|5 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[3800, 0, 0, 0, 0], [800, 3000, 0, 0, 0], [800, 0, 3000, 0, 0], [800, 0, 0, 3000, 0], [800, 0, 0, 0, 3000], [3000, 800, 0, 0, 0], [0, 3800, 0, 0, 0], [0, 800, 3000, 0, 0], [0, 800, 0, 3000, 0], [0, 800, 0, 0, 3000], [3000, 0, 800, 0, 0], [0, 3000, 800, 0, 0], [0, 0, 3800, 0, 0], [0, 0, 800, 3000, 0], [0, 0, 800, 0, 3000], [3000, 0, 0, 800, 0], [0, 3000, 0, 800, 0], [0, 0, 3000, 800, 0], [0, 0, 0, 3800, 0], [0, 0, 0, 800, 3000], [3000, 0, 0, 0, 800], [0, 3000, 0, 0, 800], [0, 0, 3000, 0, 800], [0, 0, 0, 3000, 800], [0, 0, 0, 0, 3800]]",,,
7011|6|Fuel Tanker,7011|6 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[2000, 0, 0, 0, 0], [1000, 1000, 0, 0, 0], [1000, 0, 1000, 0, 0], [1000, 0, 0, 1000, 0], [1000, 0, 0, 0, 1000], [0, 2000, 0, 0, 0], [0, 1000, 1000, 0, 0], [0, 1000, 0, 1000, 0], [0, 1000, 0, 0, 1000], [0, 0, 2000, 0, 0], [0, 0, 1000, 1000, 0], [0, 0, 1000, 0, 1000], [0, 0, 0, 2000, 0], [0, 0, 0, 1000, 1000], [0, 0, 0, 0, 2000]]",,,
7383|7|Fuel Tanker,7383|7 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[3100, 0, 0, 0, 0], [1000, 2100, 0, 0, 0], [1000, 0, 2100, 0, 0], [1000, 0, 0, 2100, 0], [1000, 0, 0, 0, 2100], [2100, 1000, 0, 0, 0], [0, 3100, 0, 0, 0], [0, 1000, 2100, 0, 0], [0, 1000, 0, 2100, 0], [0, 1000, 0, 0, 2100], [2100, 0, 1000, 0, 0], [0, 2100, 1000, 0, 0], [0, 0, 3100, 0, 0], [0, 0, 1000, 2100, 0], [0, 0, 1000, 0, 2100], [2100, 0, 0, 1000, 0], [0, 2100, 0, 1000, 0], [0, 0, 2100, 1000, 0], [0, 0, 0, 3100, 0], [0, 0, 0, 1000, 2100], [2100, 0, 0, 0, 1000], [0, 2100, 0, 0, 1000], [0, 0, 2100, 0, 1000], [0, 0, 0, 2100, 1000], [0, 0, 0, 0, 3100]]",,,
7396|8|Fuel Tanker,7396|8 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[3100, 0, 0, 0, 0], [1000, 2100, 0, 0, 0], [1000, 0, 2100, 0, 0], [1000, 0, 0, 2100, 0], [1000, 0, 0, 0, 2100], [2100, 1000, 0, 0, 0], [0, 3100, 0, 0, 0], [0, 1000, 2100, 0, 0], [0, 1000, 0, 2100, 0], [0, 1000, 0, 0, 2100], [2100, 0, 1000, 0, 0], [0, 2100, 1000, 0, 0], [0, 0, 3100, 0, 0], [0, 0, 1000, 2100, 0], [0, 0, 1000, 0, 2100], [2100, 0, 0, 1000, 0], [0, 2100, 0, 1000, 0], [0, 0, 2100, 1000, 0], [0, 0, 0, 3100, 0], [0, 0, 0, 1000, 2100], [2100, 0, 0, 0, 1000], [0, 2100, 0, 0, 1000], [0, 0, 2100, 0, 1000], [0, 0, 0, 2100, 1000], [0, 0, 0, 0, 3100]]",,,
7408|9|Fuel Tanker,7408|9 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[2200, 0, 0, 0, 0], [1200, 1000, 0, 0, 0], [1200, 0, 1000, 0, 0], [1200, 0, 0, 1000, 0], [1200, 0, 0, 0, 1000], [1000, 1200, 0, 0, 0], [0, 2200, 0, 0, 0], [0, 1200, 1000, 0, 0], [0, 1200, 0, 1000, 0], [0, 1200, 0, 0, 1000], [1000, 0, 1200, 0, 0], [0, 1000, 1200, 0, 0], [0, 0, 2200, 0, 0], [0, 0, 1200, 1000, 0], [0, 0, 1200, 0, 1000], [1000, 0, 0, 1200, 0], [0, 1000, 0, 1200, 0], [0, 0, 1000, 1200, 0], [0, 0, 0, 2200, 0], [0, 0, 0, 1200, 1000], [1000, 0, 0, 0, 1200], [0, 1000, 0, 0, 1200], [0, 0, 1000, 0, 1200], [0, 0, 0, 1000, 1200], [0, 0, 0, 0, 2200]]",,,
7424|10|Fuel Tanker,7424|10 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[2400, 0, 0, 0, 0], [1200, 1200, 0, 0, 0], [1200, 0, 1200, 0, 0], [1200, 0, 0, 1200, 0], [1200, 0, 0, 0, 1200], [0, 2400, 0, 0, 0], [0, 1200, 1200, 0, 0], [0, 1200, 0, 1200, 0], [0, 1200, 0, 0, 1200], [0, 0, 2400, 0, 0], [0, 0, 1200, 1200, 0], [0, 0, 1200, 0, 1200], [0, 0, 0, 2400, 0], [0, 0, 0, 1200, 1200], [0, 0, 0, 0, 2400]]",,,
7425|11|Fuel Tanker,7425|11 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[2400, 0, 0, 0, 0], [1200, 1200, 0, 0, 0], [1200, 0, 1200, 0, 0], [1200, 0, 0, 1200, 0], [1200, 0, 0, 0, 1200], [0, 2400, 0, 0, 0], [0, 1200, 1200, 0, 0], [0, 1200, 0, 1200, 0], [0, 1200, 0, 0, 1200], [0, 0, 2400, 0, 0], [0, 0, 1200, 1200, 0], [0, 0, 1200, 0, 1200], [0, 0, 0, 2400, 0], [0, 0, 0, 1200, 1200], [0, 0, 0, 0, 2400]]",,,
