id,description,start_location,start_latitude,start_longitude,end_location,end_latitude,end_longitude,time_window_start,time_window_end,capacity,alternative_capacities,skills,fixed_cost,max_tasks
20|57|Fuel Tanker,20|57 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[1700,0,0,0,0],[1000,700,0,0,0],[700,1000,0,0,0],[0,1700,0,0,0]]",,,
22|58|Fuel Tanker,22|58 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2000,0,0,0,0],[1000,1000,0,0,0],[0,2000,0,0,0]]",,,
23|59|Fuel Tanker,23|59 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2500,0,0,0,0],[1000,1500,0,0,0],[1500,1000,0,0,0],[0,2500,0,0,0]]",,,
24|60|Fuel Tanker,24|60 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[3500,0,0,0,0],[1000,2500,0,0,0],[2500,1000,0,0,0],[0,3500,0,0,0]]",,,
25|61|Fuel Tanker,25|61 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[3800,0,0,0,0],[800,3000,0,0,0],[3000,800,0,0,0],[0,3800,0,0,0]]",,,
26|62|Fuel Tanker,26|62 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[3800,0,0,0,0],[800,3000,0,0,0],[3000,800,0,0,0],[0,3800,0,0,0]]",,,
37|63|Lube/Fuel,37|63 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[3450,0,0,0,0],[800,2650,0,0,0],[2650,800,0,0,0],[0,3450,0,0,0]]",,,
38|64|Lube/Fuel,38|64 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2000,0,0,0,0],[250,1750,0,0,0],[1750,250,0,0,0],[0,2000,0,0,0]]",,,
39|65|Lube/Fuel,39|65 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[3500,0,0,0,0],[800,2700,0,0,0],[2700,800,0,0,0],[0,3500,0,0,0]]",,,
40|66|Lube/Fuel,40|66 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[3500,0,0,0,0],[800,2700,0,0,0],[2700,800,0,0,0],[0,3500,0,0,0]]",,,
