id,description,start_location,start_latitude,start_longitude,end_location,end_latitude,end_longitude,time_window_start,time_window_end,capacity,alternative_capacities,skills,fixed_cost,max_tasks
4305|45|Trailer-Fuel,4305|45 Tampa LFC,"33.434477,-112.18419",33.434477,-112.18419,"33.434477,-112.18419",33.434477,-112.18419,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[4000, 0, 0, 0, 0], [1350, 2650, 0, 0, 0], [1350, 0, 2650, 0, 0], [1350, 0, 0, 2650, 0], [1350, 0, 0, 0, 2650], [2650, 1350, 0, 0, 0], [0, 4000, 0, 0, 0], [0, 1350, 2650, 0, 0], [0, 1350, 0, 2650, 0], [0, 1350, 0, 0, 2650], [2650, 0, 1350, 0, 0], [0, 2650, 1350, 0, 0], [0, 0, 4000, 0, 0], [0, 0, 1350, 2650, 0], [0, 0, 1350, 0, 2650], [2650, 0, 0, 1350, 0], [0, 2650, 0, 1350, 0], [0, 0, 2650, 1350, 0], [0, 0, 0, 4000, 0], [0, 0, 0, 1350, 2650], [2650, 0, 0, 0, 1350], [0, 2650, 0, 0, 1350], [0, 0, 2650, 0, 1350], [0, 0, 0, 2650, 1350], [0, 0, 0, 0, 4000]]",,,
4309|46|Trailer-Fuel,4309|46 Tampa LFC,"33.434477,-112.18419",33.434477,-112.18419,"33.434477,-112.18419",33.434477,-112.18419,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[4500, 0, 0, 0, 0], [1500, 3000, 0, 0, 0], [1500, 0, 3000, 0, 0], [1500, 0, 0, 3000, 0], [1500, 0, 0, 0, 3000], [3000, 1500, 0, 0, 0], [0, 4500, 0, 0, 0], [0, 1500, 3000, 0, 0], [0, 1500, 0, 3000, 0], [0, 1500, 0, 0, 3000], [3000, 0, 1500, 0, 0], [0, 3000, 1500, 0, 0], [0, 0, 4500, 0, 0], [0, 0, 1500, 3000, 0], [0, 0, 1500, 0, 3000], [3000, 0, 0, 1500, 0], [0, 3000, 0, 1500, 0], [0, 0, 3000, 1500, 0], [0, 0, 0, 4500, 0], [0, 0, 0, 1500, 3000], [3000, 0, 0, 0, 1500], [0, 3000, 0, 0, 1500], [0, 0, 3000, 0, 1500], [0, 0, 0, 3000, 1500], [0, 0, 0, 0, 4500]]",,,
4310|47|Trailer-Fuel,4310|47 Tampa LFC,"33.434477,-112.18419",33.434477,-112.18419,"33.434477,-112.18419",33.434477,-112.18419,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[4800, 0, 0, 0, 0], [2200, 2600, 0, 0, 0], [2200, 0, 2600, 0, 0], [2200, 0, 0, 2600, 0], [2200, 0, 0, 0, 2600], [2600, 2200, 0, 0, 0], [0, 4800, 0, 0, 0], [0, 2200, 2600, 0, 0], [0, 2200, 0, 2600, 0], [0, 2200, 0, 0, 2600], [2600, 0, 2200, 0, 0], [0, 2600, 2200, 0, 0], [0, 0, 4800, 0, 0], [0, 0, 2200, 2600, 0], [0, 0, 2200, 0, 2600], [2600, 0, 0, 2200, 0], [0, 2600, 0, 2200, 0], [0, 0, 2600, 2200, 0], [0, 0, 0, 4800, 0], [0, 0, 0, 2200, 2600], [2600, 0, 0, 0, 2200], [0, 2600, 0, 0, 2200], [0, 0, 2600, 0, 2200], [0, 0, 0, 2600, 2200], [0, 0, 0, 0, 4800]]",,,
4347|48|Fuel Tanker,4347|48 Tampa LFC,"33.434477,-112.18419",33.434477,-112.18419,"33.434477,-112.18419",33.434477,-112.18419,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[1800, 0, 0, 0, 0], [1000, 800, 0, 0, 0], [1000, 0, 800, 0, 0], [1000, 0, 0, 800, 0], [1000, 0, 0, 0, 800], [800, 1000, 0, 0, 0], [0, 1800, 0, 0, 0], [0, 1000, 800, 0, 0], [0, 1000, 0, 800, 0], [0, 1000, 0, 0, 800], [800, 0, 1000, 0, 0], [0, 800, 1000, 0, 0], [0, 0, 1800, 0, 0], [0, 0, 1000, 800, 0], [0, 0, 1000, 0, 800], [800, 0, 0, 1000, 0], [0, 800, 0, 1000, 0], [0, 0, 800, 1000, 0], [0, 0, 0, 1800, 0], [0, 0, 0, 1000, 800], [800, 0, 0, 0, 1000], [0, 800, 0, 0, 1000], [0, 0, 800, 0, 1000], [0, 0, 0, 800, 1000], [0, 0, 0, 0, 1800]]",,,
4351|49|Fuel Tanker,4351|49 Tampa LFC,"33.434477,-112.18419",33.434477,-112.18419,"33.434477,-112.18419",33.434477,-112.18419,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[1800, 0, 0, 0, 0], [1000, 800, 0, 0, 0], [1000, 0, 800, 0, 0], [1000, 0, 0, 800, 0], [1000, 0, 0, 0, 800], [800, 1000, 0, 0, 0], [0, 1800, 0, 0, 0], [0, 1000, 800, 0, 0], [0, 1000, 0, 800, 0], [0, 1000, 0, 0, 800], [800, 0, 1000, 0, 0], [0, 800, 1000, 0, 0], [0, 0, 1800, 0, 0], [0, 0, 1000, 800, 0], [0, 0, 1000, 0, 800], [800, 0, 0, 1000, 0], [0, 800, 0, 1000, 0], [0, 0, 800, 1000, 0], [0, 0, 0, 1800, 0], [0, 0, 0, 1000, 800], [800, 0, 0, 0, 1000], [0, 800, 0, 0, 1000], [0, 0, 800, 0, 1000], [0, 0, 0, 800, 1000], [0, 0, 0, 0, 1800]]",,,
4357|50|Fuel Tanker,4357|50 Tampa LFC,"33.434477,-112.18419",33.434477,-112.18419,"33.434477,-112.18419",33.434477,-112.18419,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[1700, 0, 0, 0, 0], [900, 800, 0, 0, 0], [900, 0, 800, 0, 0], [900, 0, 0, 800, 0], [900, 0, 0, 0, 800], [800, 900, 0, 0, 0], [0, 1700, 0, 0, 0], [0, 900, 800, 0, 0], [0, 900, 0, 800, 0], [0, 900, 0, 0, 800], [800, 0, 900, 0, 0], [0, 800, 900, 0, 0], [0, 0, 1700, 0, 0], [0, 0, 900, 800, 0], [0, 0, 900, 0, 800], [800, 0, 0, 900, 0], [0, 800, 0, 900, 0], [0, 0, 800, 900, 0], [0, 0, 0, 1700, 0], [0, 0, 0, 900, 800], [800, 0, 0, 0, 900], [0, 800, 0, 0, 900], [0, 0, 800, 0, 900], [0, 0, 0, 800, 900], [0, 0, 0, 0, 1700]]",,,
4362|51|Fuel Tanker,4362|51 Tampa LFC,"33.434477,-112.18419",33.434477,-112.18419,"33.434477,-112.18419",33.434477,-112.18419,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[1700, 0, 0, 0, 0], [900, 800, 0, 0, 0], [900, 0, 800, 0, 0], [900, 0, 0, 800, 0], [900, 0, 0, 0, 800], [800, 900, 0, 0, 0], [0, 1700, 0, 0, 0], [0, 900, 800, 0, 0], [0, 900, 0, 800, 0], [0, 900, 0, 0, 800], [800, 0, 900, 0, 0], [0, 800, 900, 0, 0], [0, 0, 1700, 0, 0], [0, 0, 900, 800, 0], [0, 0, 900, 0, 800], [800, 0, 0, 900, 0], [0, 800, 0, 900, 0], [0, 0, 800, 900, 0], [0, 0, 0, 1700, 0], [0, 0, 0, 900, 800], [800, 0, 0, 0, 900], [0, 800, 0, 0, 900], [0, 0, 800, 0, 900], [0, 0, 0, 800, 900], [0, 0, 0, 0, 1700]]",,,
4368|52|Fuel Tanker,4368|52 Tampa LFC,"33.434477,-112.18419",33.434477,-112.18419,"33.434477,-112.18419",33.434477,-112.18419,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[1300, 0, 0, 0, 0], [600, 700, 0, 0, 0], [600, 0, 700, 0, 0], [600, 0, 0, 700, 0], [600, 0, 0, 0, 700], [700, 600, 0, 0, 0], [0, 1300, 0, 0, 0], [0, 600, 700, 0, 0], [0, 600, 0, 700, 0], [0, 600, 0, 0, 700], [700, 0, 600, 0, 0], [0, 700, 600, 0, 0], [0, 0, 1300, 0, 0], [0, 0, 600, 700, 0], [0, 0, 600, 0, 700], [700, 0, 0, 600, 0], [0, 700, 0, 600, 0], [0, 0, 700, 600, 0], [0, 0, 0, 1300, 0], [0, 0, 0, 600, 700], [700, 0, 0, 0, 600], [0, 700, 0, 0, 600], [0, 0, 700, 0, 600], [0, 0, 0, 700, 600], [0, 0, 0, 0, 1300]]",,,
4395|53|Fuel Tanker,4395|53 Tampa LFC,"33.434477,-112.18419",33.434477,-112.18419,"33.434477,-112.18419",33.434477,-112.18419,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[3800, 0, 0, 0, 0], [800, 3000, 0, 0, 0], [800, 0, 3000, 0, 0], [800, 0, 0, 3000, 0], [800, 0, 0, 0, 3000], [3000, 800, 0, 0, 0], [0, 3800, 0, 0, 0], [0, 800, 3000, 0, 0], [0, 800, 0, 3000, 0], [0, 800, 0, 0, 3000], [3000, 0, 800, 0, 0], [0, 3000, 800, 0, 0], [0, 0, 3800, 0, 0], [0, 0, 800, 3000, 0], [0, 0, 800, 0, 3000], [3000, 0, 0, 800, 0], [0, 3000, 0, 800, 0], [0, 0, 3000, 800, 0], [0, 0, 0, 3800, 0], [0, 0, 0, 800, 3000], [3000, 0, 0, 0, 800], [0, 3000, 0, 0, 800], [0, 0, 3000, 0, 800], [0, 0, 0, 3000, 800], [0, 0, 0, 0, 3800]]",,,
4404|54|Fuel Tanker,4404|54 Tampa LFC,"33.434477,-112.18419",33.434477,-112.18419,"33.434477,-112.18419",33.434477,-112.18419,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[2000, 0, 0, 0, 0], [1000, 1000, 0, 0, 0], [1000, 0, 1000, 0, 0], [1000, 0, 0, 1000, 0], [1000, 0, 0, 0, 1000], [0, 2000, 0, 0, 0], [0, 1000, 1000, 0, 0], [0, 1000, 0, 1000, 0], [0, 1000, 0, 0, 1000], [0, 0, 2000, 0, 0], [0, 0, 1000, 1000, 0], [0, 0, 1000, 0, 1000], [0, 0, 0, 2000, 0], [0, 0, 0, 1000, 1000], [0, 0, 0, 0, 2000]]",,,
